	start	end	weight	mean_relative_abundance
575	Porphyrobacter sp. CACIAM 03H1	TGFB2	5.659377440576239	4.108573024253767e-06
576	Actinomyces howellii	RB1	7.073931820056648	0.00037502176141197087
577	Schaalia meyeri	TP53	16.451148667193983	0.004704973376029895
578	Lactobacillus jensenii	HHIP	8.74813915292675	0.0003497448634978297
579	Corynebacterium sp. zg-917	MAP2K1	10.597033182974487	0.00022543817229009994
580	Corynebacterium sp. zg-917	ADGRG6	20.037867566676738	0.00022543817229009994
581	Corynebacterium sp. zg-917	TP53	18.30618778216749	0.00022543817229009994
582	Corynebacterium sp. zg-917	MYC	16.709943955971386	0.00022543817229009994
583	Streptococcus sanguinis	ADGRG6	5.7912071306758275	0.0007854344783977249
584	Methylobacterium mesophilicum	TP53	24.28526726244169	6.671231679212403e-06
585	Methylobacterium mesophilicum	MYC	21.712102527494622	6.671231679212403e-06
586	Dialister pneumosintes	TP53	8.805509918317613	0.0002952082670979598
587	Hyphomonas sp. Mor2	RB1	7.073931820056648	9.92347294652323e-06
588	Clostridium aceticum	ADGRG6	9.497748733470107	7.951350460506583e-05
589	Clostridium aceticum	HHIP	11.774777018076334	7.951350460506583e-05
590	Clostridium aceticum	TGFB2	6.470255160632494	7.951350460506583e-05
591	Clostridium aceticum	TP53	7.826337753340862	7.951350460506583e-05
592	Clostridium aceticum	MYC	6.350053965247476	7.951350460506583e-05
593	Acholeplasma laidlawii	AKT1	16.01886274943683	1.0132694064987165e-05
594	Brevibacterium luteolum	ALK	15.884747926124533	0.00017896267709626343
595	Brevibacterium luteolum	TP53	24.28526726244169	0.00017896267709626343
596	Brevibacterium luteolum	MYC	21.712102527494622	0.00017896267709626343
597	Lysobacter enzymogenes	ALK	16.897562721793154	1.004900216810921e-05
598	Yersinia pestis	HHIP	6.843481519177173	0.0011277020107742556
599	Yersinia pestis	TGFB2	14.919920783641919	0.0011277020107742556
600	Bacteroides heparinolyticus	SFTPD	8.49859451151254	0.00038510290490314803
601	Bacteroides heparinolyticus	HHIP	24.653166781339504	0.00038510290490314803
602	Bacteroides heparinolyticus	TGFB2	19.183002846055857	0.00038510290490314803
603	Odoribacter splanchnicus	ADGRG6	23.301894716430237	0.0009893000966909001
604	Odoribacter splanchnicus	TP53	12.64551365552371	0.0009893000966909001
605	Odoribacter splanchnicus	MYC	10.188347058175287	0.0009893000966909001
606	Nostoc linckia	ADGRG6	7.412139072670748	0.0002558112471955733
607	Acidovorax sp. T1	SFTPD	6.181611233832889	3.754016627510104e-05
608	Calothrix parasitica	ADGRG6	9.497748733470107	9.363590661491709e-06
609	Calothrix parasitica	HHIP	11.774777018076334	9.363590661491709e-06
